input_text,target_text,style
"Oh , dear husband , don't believe everything you hear , or if you must believe it , don't let it all make you angry .","O my good lord , Believe not all , or , if you must believe , Stomach not all .",shakespeare
No lady could be more miserable than I if you two disagree .,"A more unhappy lady , If this division chance , ne'er stood between , Praying for both parts .",shakespeare
"Gentle Octavia , support the one that supports you .","Gentle Octavia , Let your best love draw to that point which seeks Best to preserve it .",shakespeare
"In the meantime , I'll raise an army that will surpass his .","The meantime , lady , I'll raise the preparation of a war Shall stain your brother .",shakespeare
"May the god of power make me , the weakest of the weak , your mediator .","The Jove of power make me most weak , most weak , Your reconciler !",shakespeare
"When you find out who started this disagreement , turn your anger upon them .","When it appears to you where this begins , Turn your displeasure that way , for our faults Can never be so equal that your love Can equally move with them .",shakespeare
Order supplies for your trip and choose your traveling companions .,Provide your going ; Choose your own company and command what cost Your heart has mind to .,shakespeare
"How goes it , friend Eros ?","How now , friend Eros !",shakespeare
"Some startling news has just arrived , sir .","There's strange news come , sir .",shakespeare
"What news , man ?","What , man ?",shakespeare
Caesar and Lepidus declared war against Pompey .,Caesar and Lepidus have made wars upon Pompey .,shakespeare
That's old news .,This is old .,shakespeare
Who's winning ?,What is the success ?,shakespeare
So the weak third of the triumvirate is imprisoned until death frees him .,"So the poor third is up , till death enlarge his confine .",shakespeare
"And even if you throw everything you possess to the two of them , they'll battle each other to the death to have it all .","Then , world , thou hast a pair of chaps , no more , And throw between them all the food thou hast , They'll grind the one the other .",shakespeare
Where's Antony ?,Where's Antony ?,shakespeare
"Another thing , Domitius : Antony wants to see you now .","More , Domitius : My lord desires you presently .",shakespeare
I should have waited to tell you my news .,My news I might have told hereafter .,shakespeare
But never mind .,"Twill be naught , But let it be .",shakespeare
Take me to Antony .,Bring me to Antony .,shakespeare
"Come with me , sir .","Come , sir .",shakespeare
"In Alexandria he condemned Rome , and that's not all .","Contemning Rome , he has done all this and more In Alexandria .",shakespeare
This is what happened : he and Cleopatra sat on chairs of gold on a silver-covered stage in the marketplace .,"Here's the manner of 't : I' th' marketplace , on a tribunal silvered , Cleopatra and himself in chairs of gold Were publicly enthroned .",shakespeare
He did this in public ?,This in the public eye ?,shakespeare
"He gave Syria , Cilicia , and Phoenicia to Ptolemy .","She In th' habiliments of the goddess Isis That day appeared , and oft before gave audience , As 'tis reported , so .",shakespeare
Let's send this news to Rome .,Let Rome be thus informed .,shakespeare
The Roman people are fed up with his arrogance already .,"Who , queasy with his insolence already , Will their good thoughts call from him .",shakespeare
"The people have heard it already , and they've been told of his accusations .","The people knows it , and have now received His accusations .",shakespeare
Who does he accuse ?,Who does he accuse ?,shakespeare
"He accuses me of withholding his share of Sextus Pompeius' possessions , which we seized in Sicily .","Caesar , and that , having in Sicily Sextus Pompeius spoiled , we had not rated him His part o' th' isle .",shakespeare
Then he says I didn't return some ships he loaned me .,"Then does he say he lent me Some shipping , unrestored .",shakespeare
"Sir , these accusations should be answered .","Sir , this should be answered .",shakespeare
"It has been done already , and the messenger is on his way .","Tis done already , and the messenger gone .",shakespeare
I answered that Lepidus had become too brutal and abused his position .,"I have told him , Lepidus was grown too cruel , That he his high authority abused And did deserve his change .",shakespeare
He'll never agree to that .,He'll never yield to that .,shakespeare
Then we won't agree to his demands .,Nor must not then be yielded to in this .,shakespeare
"Greetings , Caesar , my lord !","Hail , Caesar , and my lord !",shakespeare
"Greetings , dearest Caesar !","Hail , most dear Caesar !",shakespeare
"Oh , to think you've been rejected !",That ever I should call thee castaway !,shakespeare
"You've never thought of me like that , and you have no reason to .","You have not called me so , nor have you cause .",shakespeare
Then why did you travel so quietly ?,Why have you stol'n upon us thus ?,shakespeare
You didn't arrive like Caesar's sister .,You come not Like Caesar's sister .,shakespeare
"Antony's wife should have an army to escort her , with neighing horses to announce her arrival long before she appears .",The wife of Antony Should have an army for an usher and The neighs of horse to tell of her approach Long ere she did appear .,shakespeare
The dust from your attending troops should have risen to heaven .,"Nay , the dust Should have ascended to the roof of heaven , Raised by your populous troops .",shakespeare
I would have met you by sea and again by land .,"We should have met you By sea and land , supplying every stage With an augmented greeting .",shakespeare
Mark Antony heard that you were preparing to wage war on him .,"My lord , Mark Antony , Hearing that you prepared for war , acquainted My grieved ear withal , whereon I begged His pardon for return .",shakespeare
"Which he quickly allowed , given that you're an obstacle to his lust .","Which soon he granted , Being an obstruct 'tween his lust and him .",shakespeare
Amen .,Amen .,shakespeare
Quiet !,Hush !,shakespeare
Here comes Antony .,Here comes Antony .,shakespeare
Have you seen my lord ?,Saw you my lord ?,shakespeare
"No , lady .","No , lady .",shakespeare
Wasn't he here ?,Was he not here ?,shakespeare
"No , madam .","No , madam .",shakespeare
"He was in a good mood , and then suddenly he started thinking of Rome .","He was disposed to mirth , but on the sudden A Roman thought hath struck him. , Enobarbus !",shakespeare
Madam ?,Madam ?,shakespeare
"Here , at your service .",Here at your service .,shakespeare
Here comes my lord .,My lord approaches .,shakespeare
"Your wife , Fulvia , mustered her army first .",Fulvia thy wife first came into the field .,shakespeare
Against my brother Lucius ?,Against my brother Lucius ?,shakespeare
Yes .,Ay .,shakespeare
"Don't say that , my lord .","Do not say so , my lord .",shakespeare
Where do you think he is now ?,Where is he now ?,shakespeare
"He's in Athens , my lord .","My lord , in Athens .",shakespeare
"No , he's not .","No , my most wronged sister .",shakespeare
Cleopatra summoned him .,Cleopatra Hath nodded him to her .,shakespeare
"He's given his empire to a whore , and now they're gathering kings to wage a war .",He hath given his empire Up to a whore ; who now are levying The kings o' th' earth for war .,shakespeare
"He's recruited Bocchus , the King of Libya ; Archelaus of Cappadocia ; Philadelphos , King of Paphlagonia ; the Thracian king , Adallas ; King Manchus of Arabia ; the King of Pont ; Herod , of Judea ; Mithridates , King of Comagen ; Polemon and Amyntas , the kings of Mede and Lycaonia , and many more .","He hath assembled Bocchus , the King of Libya ; Archelaus , Of Cappadocia ; Philadelphos , King Of Paphlagonia ; the Thracian king , Adallas ; King Manchus of Arabia ; King of Pont ; Herod of Jewry ; Mithridates , King Of Comagen ; Polemon and Amyntas , The Kings of Mede and Lycaonia , With a more larger list of scepters .",shakespeare
I'm divided between two friends who are determined to kill each other .,"Ay me , most wretched , That have my heart parted betwixt two friends That does afflict each other !",shakespeare
You're welcome here .,Welcome hither .,shakespeare
I didn't write about breaking the alliance with Antony until I saw you were being misled and realized how dangerous it would be to keep postponing preparations .,Your letters did withhold our breaking forth Till we perceived both how you were wrong led And we in negligent danger .,shakespeare
